symbol,gaprun_count
BNAI,210
EVTV,154
SEGG,143
SLGB,131
SPHL,130
MTEN,127
SXTP,126
ROLR,120
FEED,118
NAMM,116
DRCT,111
IOTR,109
IVF,107
SXTC,104
GITS,96
LRHC,92
JFBR,89
CGTL,87
CISS,87
MOVE,86
BATL,85
AHMA,83
CJMB,82
BOXL,81
AUID,73
KUST,70
LNKS,70
ASBP,66
XAIR,66
ICON,65
ASTI,62
NUWE,61
XHLD,57
ANPA,56
ACCL,55
INBS,53
BTTC,52
BGL,51
TWG,51
BIYA,50
CNEY,50
HCTI,50
MLEC,49
GOAI,48
DCX,47
MNTS,47
POLA,47
MBAI,46
PAVM,46
OKLS,45
SIDU,44
ROMA,43
FLYX,42
NUAI,42
ORKT,41
ZSTK,41
PHGE,40
VRME,40
NVVE,39
OPTX,39
GORO,38
AUST,37
IBRX,37
UFG,37
GLXG,36
CRVS,35
LHAI,35
REVB,35
TNMG,35
PRFX,34
RVYL,34
ASPC,33
BNKK,33
GCTS,33
GIBO,33
ATPC,32
CMCT,32
ELAB,32
LVLU,32
LYRA,32
OKLL,32
RDW,32
AGPU,31
BCTX,31
LCFY,31
MVO,31
VIVS,31
EDBL,30
AGIG,29
CRWG,29
GRI,29
RIME,29
BNRG,28
HCHL,28
PCLA,28
VELO,28
ONEG,27
PFSA,27
SLE,27
IRE,26
