symbol,gaprun_count
JZXN,114
NCI,99
PLYX,94
CISS,90
BOXL,88
SXTC,83
VHUB,82
RIME,79
SUNE,79
MLEC,76
OBAI,75
JDZG,73
FGL,69
OLB,64
GXAI,61
PHOE,61
BDMD,59
FEED,58
CDIO,56
RXT,56
IRE,55
LRHC,54
NPT,54
QVCGP,53
BATL,52
CGTL,50
BNAI,49
HIMZ,47
FUSE,45
RUBI,44
LGHL,42
SMJF,42
GVH,40
PHIO,39
BENF,38
BRLS,38
ATOM,37
HURA,36
SNSE,36
VVPR,36
LBTYB,34
ONEG,33
SAGT,33
FRGT,31
ACCL,30
ASTI,30
CDT,30
ELAB,30
ANPA,29
JLHL,29
KELYB,29
WTO,29
RVSN,28
HTLM,27
IBG,26
AIM,25
AUUD,25
CRE,25
DBGI,25
NAMM,25
OKLL,25
YJ,25
ANL,24
BDRX,24
CVNX,24
DOGZ,24
FJET,24
LFS,24
NBIL,24
SWVL,24
UGRO,24
EVTV,23
POAS,23
RDIB,23
ROMA,23
VTAK,23
WHLRP,23
CMPS,22
EDHL,22
HCTI,22
AGIG,21
AHMA,21
ARMG,21
BJDX,21
GLXG,21
IPW,21
NBIG,21
ORKT,21
PFSA,21
APUS,20
BNRG,20
CATX,20
CIGL,20
FIGG,20
HCHL,20
BGM,19
FLYE,19
SABR,19
STEX,19
CRWG,18
