symbol,gaprun_count
AMCI,162
WOK,141
ASPC,128
CETX,120
BDRX,116
ATPC,110
BEAT,88
PCLA,86
FJET,85
WHLR,80
JFBR,79
DRCT,76
VMAR,75
MENS,71
PLRZ,71
SIDU,68
JZXN,59
AHMA,58
VELO,58
FLYE,56
GURE,56
MTEN,56
RADX,54
BNAI,52
CGTL,52
UGRO,52
ASTI,51
MNTS,51
PFSA,51
BBGI,50
CMCT,50
IBIO,49
QCLS,44
TWG,42
VSME,41
CHR,39
ENVB,39
ESHA,39
CV,38
WBUY,38
WVE,37
ELAB,36
INBS,36
MTVA,36
OPTX,36
PBM,36
PCSA,36
TNMG,36
BQ,35
SUGP,35
LHAI,34
MIGI,34
QTTB,34
ZDGE,34
ANL,33
ARBK,33
VOR,33
NCI,32
AXIL,31
HUBC,31
KYTX,31
MGRT,31
BTTC,30
GRI,30
MLEC,30
RYM,30
BENF,29
INHD,29
LNKS,29
BNRG,28
FULC,28
GOVX,28
OKLL,28
PETS,28
RDAC,28
RZLT,28
ELOG,27
GVH,27
MCRP,27
SOC,27
ARBB,26
BNKK,26
DRMA,26
IMMP,26
EDHL,25
MSOX,25
RILYL,25
EVTV,24
GWAV,24
NXDR,24
SCWO,24
ASBP,23
CNCK,23
CRCA,23
FRMI,23
GLXG,23
AGCC,22
CANF,22
EKSO,22
ARTV,21
