symbol,max_run_gain_pct
PLYX,368.2634730538923
LBTYB,221.64285714285717
NPT,154.47941888619857
RXT,128.69955156950672
WHLRP,127.2727272727273
OLB,100.40448611877184
SXTC,94.16666666666669
JDZG,93.05555555555556
OBAI,79.34990439770556
ROMA,77.91666666666666
PRFX,73.7704918032787
ENVB,65.4708520179372
KELYB,62.16216216216215
UGRO,60.909090909090914
PMI,58.82352941176472
PYPG,58.60708263069141
GTN.A,57.89473684210527
VHUB,55.81253804017044
SNSE,54.49999999999999
CMPS,52.17391304347827
CISS,51.666666666666686
WLDSW,48.06201550387597
GXAI,46.09929078014186
ONEG,45.708582834331345
RDIB,45.61301568855316
JZXN,44.78527607361964
ELAB,43.323952987915916
AIM,42.97520661157026
FOFO,41.485576923076906
CDT,41.12903225806453
BENF,41.114367063615774
ANPA,40.63787219018478
MNTS,40.28662420382165
MLEC,39.985163204747785
LFS,39.93055555555558
GSUN,39.13043478260872
FLYE,38.8671875
TE.WS,38.6138613861386
BATL,37.80918727915194
GVH,37.5
EDHL,37.216828478964416
SXTP,37.10407239819005
DOGZ,37.02127659574468
HCHL,36.59494687974287
QSU,36.25592417061612
WTO,35.759493670886066
SWVL,35.47008547008548
RUBI,34.48275862068968
VTAK,34.324124321657614
NCI,34.06593406593408
IREG,33.88734995383196
IBG,33.34986945169713
CMND,33.1168831168831
GMM,32.32805046930296
NUAIW,32.22222222222222
MKDW,32.2222222222222
NAK,32.17117953847255
SQFTP,32.00000000000001
QVCGP,31.71521035598708
FIEE,31.49216676654398
PHIO,31.150981009337954
ACCL,30.14705882352939
BRLS,30.09656652360515
TC,29.90654205607477
ANL,29.400000000000006
BIYA,29.08366533864544
LGHL,29.03842477537757
CMMB,29.01234567901232
SAGT,28.80508474576271
FUSE,28.07017543859649
PLBY,28.04878048780488
YJ,27.544910179640713
HAO,27.368421052631575
BNAI,26.971894832275623
LRHC,26.688102893890676
APUS,26.3565891472868
BGMS,25.98425196850396
WOK,25.757575757575736
NRGV,25.30864197530862
SORA,25.20661157024793
CGTL,24.771466144914523
IRS.WS,24.675324675324674
ORKT,24.489795918367353
ORCU,24.445111492281303
CDIO,24.370892018779333
ULY,24.15094339622641
BNRG,24.0506329113924
JFBR,23.90924956369982
FIGG,23.783783783783786
TULP,23.45454545454546
EYPT,23.27102803738319
PHOE,23.227034745359344
ORCX,23.202911737943577
HTLM,22.912966252220258
MTEN,22.685185185185162
BOXL,22.602739726027398
ALVO,22.440944881889745
STLA,22.411347517730505
UPB,22.358620689655172
VGAS,21.92982456140351
