date,symbol
2025-01-30,REVB
2025-01-30,YIBO
2025-01-30,KRKR
2025-01-30,MTEN
2025-01-31,VSA
2025-01-31,WLDSW
2025-01-31,REBN
2025-01-31,JL
2025-01-31,CYCN
2025-01-31,DOMH
2025-01-31,ABVE
2025-01-31,WNW
2025-01-31,NEOVW
2025-01-31,ACON
2025-01-31,HYPR
2025-01-31,LGHL
2025-01-31,JZXN
2025-01-31,NCEL
2025-01-31,TOI
2025-02-03,ZBAI
2025-02-03,TNXP
2025-02-03,ICU
2025-02-03,NWTG
2025-02-03,IVVD
2025-02-03,REBN
2025-02-03,SUUN
2025-02-03,FMST
2025-02-03,JG
2025-02-03,INKT
2025-02-03,FCUV
2025-02-03,GCTK
2025-02-03,ORIO
2025-02-03,LGO
2025-02-03,VSA
2025-02-04,EMPD
2025-02-04,QNTM
2025-02-04,ACON
2025-02-04,EVAX
2025-02-04,XGN
2025-02-05,BULLW
2025-02-05,MDCXW
2025-02-05,TNXP
2025-02-05,NVCT
2025-02-05,RNAZ
2025-02-05,ASST
2025-02-05,CPIX
2025-02-05,SLXN
2025-02-05,KRKR
2025-02-05,MBAI
2025-02-05,ACB
2025-02-05,EYPT
2025-02-05,UGRO
2025-02-05,BTCT
2025-02-05,INAB
2025-02-06,SEGG
2025-02-06,FOXX
2025-02-06,FEAM
2025-02-06,YSXT
2025-02-06,FBYD
2025-02-06,SBET
2025-02-06,CJMB
2025-02-06,QNTM
2025-02-06,RNAZ
2025-02-06,CRML
2025-02-06,APPS
2025-02-06,LFVN
2025-02-06,UGRO
2025-02-06,IVVD
2025-02-06,NIOBW
2025-02-07,UPC
2025-02-07,SBET
2025-02-07,DC.WS
2025-02-07,PMAX
2025-02-07,STEX
2025-02-07,CRNC
2025-02-07,NTRB
2025-02-07,TNXP
2025-02-07,CJMB
2025-02-07,FARM
2025-02-07,ABVE
2025-02-07,AIFU
2025-02-07,EAF
2025-02-07,ASST
2025-02-07,CYN
2025-02-10,BNAI
2025-02-10,CYN
2025-02-10,MNTS
2025-02-10,NVNI
2025-02-10,IVVD
2025-02-10,DOMH
2025-02-10,JG
2025-02-10,ATAI
2025-02-10,AIOT
2025-02-10,BALY
2025-02-10,GRCE
2025-02-10,SXTP
2025-02-10,NCEL
2025-02-10,INTS
2025-02-10,SKBL
2025-02-11,MDCXW
2025-02-11,FLYE
2025-02-11,FBGL
2025-02-11,CYN
2025-02-11,RILYL
2025-02-11,CJMB
2025-02-11,BCDA
2025-02-11,INAB
2025-02-11,WNW
2025-02-11,XAIR
2025-02-11,SKBL
2025-02-11,PCLA
2025-02-11,SXTP
2025-02-11,LNZA
2025-02-11,MSW
2025-02-12,MNDR
2025-02-12,ENGNW
2025-02-12,NWTG
2025-02-12,SMWB
2025-02-12,MSW
2025-02-12,GRRR
2025-02-12,BNAI
2025-02-12,ABTS
2025-02-12,ATOM
2025-02-12,SPIR
2025-02-12,LGCB
2025-02-12,LRHC
2025-02-12,SMCL
2025-02-12,VIOT
2025-02-12,SMCX
2025-02-13,MBRX
2025-02-13,LITM
2025-02-13,AMPX.WS
2025-02-13,MSW
2025-02-13,CRSR
2025-02-13,MDCX
2025-02-13,CYN
2025-02-13,MTW
2025-02-13,BZAI
2025-02-13,WLDSW
2025-02-13,AISP
2025-02-13,AGH
2025-02-13,PGY
2025-02-13,EXOZ
2025-02-13,MKZR
2025-02-14,FEED
2025-02-14,MBRX
2025-02-14,TRON
2025-02-14,NWTG
2025-02-14,PACB
2025-02-14,CNSP
2025-02-14,LRE
2025-02-14,QCLS
2025-02-14,WRD
2025-02-14,VLN
2025-02-14,EMPD
