date,regime,num_trades,num_unique_symbols,num_trades_ma30,num_unique_symbols_ma30,win_rate_pct,total_pnl,regime_detected
2025-01-02,BREAKOUT,133,5,133.0,5.0,32.33082706766917,-8907.089999999998,TRANSITION
2025-01-03,BREAKOUT,41,2,87.0,3.5,34.14634146341464,-1426.99,TRANSITION
2025-01-06,BREAKOUT,37,14,70.33333333333333,7.0,67.56756756756756,70.61000000000003,TRANSITION
2025-01-07,BREAKOUT,28,10,59.75,7.75,57.14285714285714,49.63000000000002,PULLBACK
2025-01-08,BREAKOUT,59,13,59.6,8.8,30.508474576271187,-2647.19,PULLBACK
2025-01-10,BREAKOUT,192,15,81.66666666666667,9.833333333333334,67.1875,1134.6499999999996,TRANSITION
2025-01-13,BREAKOUT,96,10,83.71428571428571,9.857142857142858,78.125,3032.25,TRANSITION
2025-01-14,BREAKOUT,54,13,80.0,10.25,55.55555555555556,-52.910000000000025,TRANSITION
2025-01-15,BREAKOUT,45,15,76.11111111111111,10.777777777777779,64.44444444444444,230.97,TRANSITION
2025-01-16,BREAKOUT,51,6,73.6,10.3,64.70588235294117,438.87,TRANSITION
2025-01-17,BREAKOUT,66,8,72.9090909090909,10.090909090909092,74.24242424242425,116.25000000000004,TRANSITION
2025-01-21,BREAKOUT,27,7,69.08333333333333,9.833333333333334,25.925925925925924,-867.68,TRANSITION
2025-01-22,BREAKOUT,121,9,73.07692307692308,9.76923076923077,79.33884297520662,2194.66,TRANSITION
2025-01-23,BREAKOUT,197,10,81.92857142857143,9.785714285714286,76.6497461928934,3586.01,TRANSITION
2025-01-24,BREAKOUT,204,13,90.06666666666666,10.0,85.29411764705883,8333.75,TRANSITION
2025-01-27,BREAKOUT,55,9,87.875,9.9375,56.36363636363636,92.39999999999996,TRANSITION
2025-01-28,BREAKOUT,185,7,93.58823529411765,9.764705882352942,88.64864864864866,21227.51,TRANSITION
2025-01-29,BREAKOUT,121,7,95.11111111111111,9.61111111111111,87.60330578512396,16166.71,TRANSITION
2025-01-30,BREAKOUT,37,10,92.05263157894737,9.631578947368421,64.86486486486487,-534.95,TRANSITION
2025-01-31,BREAKOUT,48,9,89.85,9.6,37.5,-1622.17,TRANSITION
2025-02-03,BREAKOUT,56,9,88.23809523809524,9.571428571428571,32.142857142857146,-1685.25,TRANSITION
2025-02-04,BREAKOUT,37,4,85.9090909090909,9.318181818181818,48.64864864864865,-1112.28,TRANSITION
2025-02-05,BREAKOUT,57,7,84.65217391304348,9.217391304347826,84.21052631578947,1856.37,TRANSITION
2025-02-06,BREAKOUT,48,11,83.125,9.291666666666666,70.83333333333334,1517.13,TRANSITION
2025-02-07,BREAKOUT,36,10,81.24,9.32,55.55555555555556,-38.11999999999999,TRANSITION
2025-02-10,BREAKOUT,177,12,84.92307692307692,9.423076923076923,73.44632768361582,453.40000000000015,TRANSITION
2025-02-11,BREAKOUT,26,8,82.74074074074075,9.37037037037037,50.0,-1007.2100000000002,TRANSITION
2025-02-12,BREAKOUT,18,9,80.42857142857143,9.357142857142858,44.44444444444444,-112.82,TRANSITION
2025-02-13,BREAKOUT,29,11,78.65517241379311,9.413793103448276,62.06896551724138,-78.60999999999997,TRANSITION
2025-02-14,BREAKOUT,34,13,77.16666666666667,9.533333333333333,38.23529411764706,-1639.9,TRANSITION
