symbol,max_run_gain_pct
GOAI,159.86525505293548
ACCL,119.34604904632154
BATL,117.85714285714285
ROLR,112.1761658031088
JFBR,100.34592101470166
PAVM,94.93150684931508
INBS,89.29417337754619
EVTV,75.7131842713955
ICON,74.90494296577945
SLGB,70.00653871302742
KUST,66.96969696969697
JZXN,60.71123268934859
DRCT,57.18475073313783
XHLD,56.98924731182795
AHMA,55.4038680318544
IOTR,54.46428571428572
IVF,51.004016064256994
LCFY,49.19786096256684
GP,48.54291869826511
GITS,48.24519065021031
FLYX,47.68392370572207
MLEC,47.15596330275229
RGNX,45.84294002209091
PHGE,45.3560371517028
SPHL,44.8509485094851
BOXL,44.21395348837209
HUBC,44.20157862780811
TNMG,43.77224199288256
LRHC,43.35378323108385
SEGG,43.1980906921241
TWG,43.14115308151094
PZG,42.77456647398845
GLXG,42.51544747857283
CRVS,42.50000000000001
ASBP,42.190476190476176
GWAV,40.51094890510949
LYRA,40.43137254901959
SOGP,39.88563259471052
SXTP,39.66005665722378
BNRG,39.59276018099547
GIBO,39.44444444444444
HIND,38.78124999999999
OKLL,38.57984293193719
FEED,38.46153846153848
SGMT,38.21292775665399
GXAI,38.15028901734105
BTTC,37.5438596491228
RVYL,37.34643734643732
CJMB,36.66666666666665
MTEN,36.60782808902534
NVVE,36.56716417910448
SWVL,36.5
MGLD,36.29032258064515
BNAI,36.17399023524188
MOVE,35.418359057676696
FGL,34.32664756446992
PCLA,33.939945404913566
MNTS,33.80281690140847
MVO,33.62068965517242
ANPA,33.45973678340397
AUID,33.33333333333335
ORKT,33.32380952380951
NUWE,33.24396782841823
AIFU,32.93413173652697
CISS,32.62814070351758
YDDL,32.6153846153846
SDST,32.00498132004983
VSME,31.831255992329837
HCTI,31.72857142857144
GCTK,31.578947368421066
RMTI,31.53153153153152
PDYN,31.25
USAR,30.89678510998308
SXTC,30.814346333684696
BIYA,30.51807254278678
PMAX,30.36649214659688
PRFX,29.90654205607475
ARMP,29.762790697674426
BCTX,29.75023386342377
AUST,29.4392523364486
DCX,29.20792079207921
WBUY,28.47878787878788
VIVS,28.220858895705515
AIMD,28.208333333333325
VMAR,27.88021111860308
FAMI,27.09923664122138
BZAI,27.093596059113324
STKH,27.083333333333325
GRI,27.0
POLA,26.72811059907833
RDHL,26.724137931034495
ALUB,26.582278481012665
ANL,26.486486486486484
MBAI,26.294820717131472
HGBL,26.206896551724142
FEDU,26.136363636363622
CMCT,26.08565438754118
BNKK,25.778252940066658
GORO,25.6830601092896
SLE,24.85549132947977
