trade_date,symbol,run_start_time_et,run_end_time_et,run_minutes,run_gain_pct,pre_time_et,pre_open,pre_high,pre_low,pre_close,pre_volume,pre_trade_count,pre_vwap,pre_rel_vol_30d,pre_range_pct,pre_body_pct,window_5m_return_pct,window_5m_volume_sum,window_5m_green_frac
2026-01-02,BNAI,2026-01-02T09:54:00-05:00,2026-01-02T09:56:00-05:00,3,8.250793650793643,2026-01-02T09:53:00-05:00,3.1709,3.21,3.16,3.17,152162,495,3.181391,1.0805253213642332,1.5768393831404277,-0.028383108896531672,0.47543581616482644,865252,0.6
2026-01-02,BNAI,2026-01-02T09:54:00-05:00,2026-01-02T09:57:00-05:00,4,11.853968253968251,2026-01-02T09:53:00-05:00,3.1709,3.21,3.16,3.17,152162,495,3.181391,1.0805253213642332,1.5768393831404277,-0.028383108896531672,0.47543581616482644,865252,0.6
2026-01-02,BNAI,2026-01-02T10:01:00-05:00,2026-01-02T10:01:00-05:00,1,5.10924831661399,2026-01-02T10:00:00-05:00,3.67,3.7999,3.5801,3.63,888265,5080,3.68502,2.097554077185058,5.989100817438698,-1.0899182561307912,7.396449704142016,4105678,0.6
2026-01-02,BNAI,2026-01-02T10:08:00-05:00,2026-01-02T10:08:00-05:00,1,7.863899477622471,2026-01-02T10:07:00-05:00,3.5686,3.62,3.53,3.553,284713,1632,3.576002,2.5622828905454047,2.5219974219581993,-0.4371462198060881,-4.226642945711356,2294094,0.4
2026-01-02,BNAI,2026-01-02T10:10:00-05:00,2026-01-02T10:11:00-05:00,2,5.376344086021501,2026-01-02T10:09:00-05:00,3.825,3.92,3.7,3.7286,1016567,6840,3.792506,2.3754143892615005,5.751633986928098,-2.5202614379084975,1.727007339099118,3227590,0.4
2026-01-02,BNAI,2026-01-02T10:10:00-05:00,2026-01-02T10:12:00-05:00,3,8.481182795698917,2026-01-02T10:09:00-05:00,3.825,3.92,3.7,3.7286,1016567,6840,3.792506,2.3754143892615005,5.751633986928098,-2.5202614379084975,1.727007339099118,3227590,0.4
2026-01-02,BNAI,2026-01-02T10:16:00-05:00,2026-01-02T10:18:00-05:00,3,5.640973424294882,2026-01-02T10:15:00-05:00,3.9399,3.95,3.85,3.9265,490457,2741,3.899659,3.6072799857506204,2.5381354856722274,-0.3401101550800858,4.9613729316474675,4698515,0.4
2026-01-02,BNAI,2026-01-02T10:29:00-05:00,2026-01-02T10:29:00-05:00,1,5.287077715497657,2026-01-02T10:28:00-05:00,4.0181,4.0316,3.945,3.9691,579883,3331,3.986819,4.419652638314021,2.1552475050397013,-1.219481844652933,2.3808295501444476,2122531,0.2
2026-01-02,BTOG,2026-01-02T08:02:00-05:00,2026-01-02T08:02:00-05:00,1,7.267441860465129,2026-01-02T08:01:00-05:00,0.1898,0.1899,0.1668,0.1845,11428,25,0.180263,1.5831150147036417,12.17070600632245,-2.7924130663856688,-0.8064516129032251,33872,0.0
2026-01-02,BUUU,2026-01-02T10:46:00-05:00,2026-01-02T10:48:00-05:00,3,7.100391134289441,2026-01-02T10:45:00-05:00,7.675,7.6953,7.2101,7.24,1489,11,7.591156,0.4068300173587929,6.321824104234526,-5.667752442996737,3.4285714285714253,2648,0.0
2026-01-02,BUUU,2026-01-02T10:46:00-05:00,2026-01-02T10:49:00-05:00,4,14.211212516297266,2026-01-02T10:45:00-05:00,7.675,7.6953,7.2101,7.24,1489,11,7.591156,0.4068300173587929,6.321824104234526,-5.667752442996737,3.4285714285714253,2648,0.0
2026-01-02,BUUU,2026-01-02T11:28:00-05:00,2026-01-02T11:29:00-05:00,2,6.191571983316546,2026-01-02T11:27:00-05:00,7.2,7.217,6.9501,6.9525,6234,116,7.085425,,3.70694444444444,-3.4375000000000067,-5.6648575305291775,33679,0.2
2026-01-02,BUUU,2026-01-02T11:28:00-05:00,2026-01-02T11:30:00-05:00,3,5.709765568819214,2026-01-02T11:27:00-05:00,7.2,7.217,6.9501,6.9525,6234,116,7.085425,,3.70694444444444,-3.4375000000000067,-5.6648575305291775,33679,0.2
2026-01-02,CETX,2026-01-02T06:59:00-05:00,2026-01-02T07:06:00-05:00,8,5.7347670250896154,2026-01-02T06:58:00-05:00,2.78,2.78,2.78,2.78,100,1,2.78,,0.0,0.0,0.0,3898,0.0
2026-01-02,COHN,2026-01-02T09:32:00-05:00,2026-01-02T09:34:00-05:00,3,5.307497893850055,2026-01-02T09:31:00-05:00,23.52,23.72,23.3,23.52,2195,12,23.409495,1.0034314235208486,1.785714285714278,0.0,-1.3008812421317573,4825,0.3333333333333333
2026-01-02,CRCA,2026-01-02T10:32:00-05:00,2026-01-02T10:37:00-05:00,6,5.030469590154141,2026-01-02T10:31:00-05:00,4.195,4.2,4.185,4.185,14865,28,4.190239,0.8018189768167692,0.3575685339690242,-0.23837902264602323,0.13638647620415334,188065,0.4
2026-01-02,CRMLW,2026-01-02T11:15:00-05:00,2026-01-02T11:15:00-05:00,1,5.747126436781613,2026-01-02T11:14:00-05:00,3.42,3.42,3.42,3.42,100,1,3.42,0.3401913845336504,0.0,0.0,5.555555555555536,2503,0.2
2026-01-02,DBGI,2026-01-02T09:48:00-05:00,2026-01-02T09:50:00-05:00,3,5.56168268473296,2026-01-02T09:47:00-05:00,13.5999,13.5999,13.3094,13.364,2252,6,13.457132,3.673462783171521,2.136045117978807,-1.7345715777321826,-0.9340252038547048,11671,0.2
2026-01-02,DBGI,2026-01-02T09:48:00-05:00,2026-01-02T09:51:00-05:00,4,6.4679976291761365,2026-01-02T09:47:00-05:00,13.5999,13.5999,13.3094,13.364,2252,6,13.457132,3.673462783171521,2.136045117978807,-1.7345715777321826,-0.9340252038547048,11671,0.2
2026-01-02,DRMA,2026-01-02T10:31:00-05:00,2026-01-02T10:33:00-05:00,3,5.200945626477549,2026-01-02T10:30:00-05:00,2.518,2.54,2.5001,2.5001,1249,9,2.516686,0.02423691520223051,1.584590945194592,-0.7108816521048286,2.463114754098372,17688,0.6
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:57:00-05:00,6,6.543209876543221,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-0.765134357593189,27245,0.4
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:58:00-05:00,7,5.432098765432092,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-0.765134357593189,27245,0.4
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:59:00-05:00,8,6.296296296296289,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-0.765134357593189,27245,0.4
2026-01-02,ELAB,2026-01-02T11:31:00-05:00,2026-01-02T11:31:00-05:00,1,5.263157894736836,2026-01-02T11:30:00-05:00,1.525,1.5299,1.4401,1.49,94913,233,1.490151,0.09576028112628225,5.888524590163941,-2.2950819672131098,-3.2279015392609023,106322,0.0
2026-01-02,ELVA,2026-01-02T09:30:00-05:00,2026-01-02T09:31:00-05:00,2,5.063291139240511,2026-01-02T09:29:00-05:00,7.9,7.9,7.9,7.9,378,13,7.9,12.252,0.0,0.0,0.6728514629422033,5133,0.4
2026-01-02,ELVA,2026-01-02T09:30:00-05:00,2026-01-02T09:32:00-05:00,3,6.835443037974676,2026-01-02T09:29:00-05:00,7.9,7.9,7.9,7.9,378,13,7.9,12.252,0.0,0.0,0.6728514629422033,5133,0.4
2026-01-02,EPSM,2026-01-02T09:30:00-05:00,2026-01-02T09:30:00-05:00,1,5.896551724137944,2026-01-02T09:29:00-05:00,2.09,2.09,2.09,2.09,1199,7,2.09,,0.0,0.0,3.4653465346534684,2487,0.25
2026-01-02,FLYE,2026-01-02T09:46:00-05:00,2026-01-02T09:47:00-05:00,2,5.343511450381677,2026-01-02T09:45:00-05:00,6.66,6.66,6.55,6.55,255,8,6.605,0.009699366984263633,1.6516516516516564,-1.6516516516516564,1.393188854489158,2046,0.4
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:23:00-05:00,2,7.81671159029651,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,0.9249183895538637,13560,0.4
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:24:00-05:00,3,9.811320754716979,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,0.9249183895538637,13560,0.4
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:25:00-05:00,4,12.29110512129381,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,0.9249183895538637,13560,0.4
2026-01-02,GVH,2026-01-02T09:44:00-05:00,2026-01-02T09:44:00-05:00,1,5.263157894736836,2026-01-02T09:43:00-05:00,1.365,1.37,1.31,1.345,5731,48,1.348544,1.9930251905738499,4.3956043956043995,-1.4652014652014667,-4.6099290780141855,20484,0.0
2026-01-02,HCTI,2026-01-02T08:00:00-05:00,2026-01-02T08:00:00-05:00,1,6.793650793650796,2026-01-02T07:59:00-05:00,0.66,0.66,0.66,0.66,1000,1,0.66,,0.0,0.0,1.1029411764705843,3007,0.2
2026-01-02,HCTI,2026-01-02T10:41:00-05:00,2026-01-02T10:46:00-05:00,6,5.2077944473185145,2026-01-02T10:40:00-05:00,0.58,0.58,0.5777,0.58,4105,11,0.579454,1.9542292214376455,0.39655172413792567,0.0,1.3986013986013957,17029,0.4
2026-01-02,IMSRW,2026-01-02T10:26:00-05:00,2026-01-02T10:26:00-05:00,1,5.286343612334798,2026-01-02T10:25:00-05:00,2.36,2.36,2.3,2.3,3300,11,2.337188,0.511804692639427,2.5423728813559343,-2.5423728813559343,-8.366533864541836,5196,0.0
2026-01-02,INBS,2026-01-02T11:04:00-05:00,2026-01-02T11:06:00-05:00,3,5.08688476846908,2026-01-02T11:03:00-05:00,8.39,8.39,8.3,8.3,4024,42,8.338601,0.17722586454259182,1.0727056019070305,-1.0727056019070305,0.0,25463,0.4
2026-01-02,INBS,2026-01-02T11:04:00-05:00,2026-01-02T11:07:00-05:00,4,7.1497912823997645,2026-01-02T11:03:00-05:00,8.39,8.39,8.3,8.3,4024,42,8.338601,0.17722586454259182,1.0727056019070305,-1.0727056019070305,0.0,25463,0.4
2026-01-02,IPSC,2026-01-02T11:25:00-05:00,2026-01-02T11:27:00-05:00,3,6.4408602150537675,2026-01-02T11:24:00-05:00,0.9467,0.9467,0.93,0.93,26882,11,0.945518,0.9842309606356956,1.7640223935776842,-1.7640223935776842,-2.5872001675919076,96830,0.4
2026-01-02,IRE,2026-01-02T09:43:00-05:00,2026-01-02T09:48:00-05:00,6,5.704093988284198,2026-01-02T09:42:00-05:00,6.13,6.14,6.1,6.105,112495,366,6.12006,0.9974911450370169,0.652528548123981,-0.4078303425774791,0.909090909090926,556749,0.6
2026-01-02,IRWD,2026-01-02T07:25:00-05:00,2026-01-02T07:26:00-05:00,2,6.994818652849744,2026-01-02T07:24:00-05:00,3.88,3.9,3.84,3.865,5512,62,3.870115,,1.546391752577321,-0.3865979381443217,1.7105263157894735,47756,0.4
2026-01-02,IRWD,2026-01-02T07:40:00-05:00,2026-01-02T07:40:00-05:00,1,8.020050125313261,2026-01-02T07:39:00-05:00,4.02,4.02,3.97,3.98,12508,138,3.986413,,1.2437810945273478,-0.9950248756218805,-2.211302211302224,254613,0.4
2026-01-02,IRWD,2026-01-02T09:32:00-05:00,2026-01-02T09:32:00-05:00,1,8.68906514570893,2026-01-02T09:31:00-05:00,4.55,4.56,4.45,4.4986,413011,1962,4.500758,404.2164986171641,2.417582417582405,-1.129670329670332,-4.285106382978732,1950732,0.0
2026-01-02,IRWD,2026-01-02T09:32:00-05:00,2026-01-02T09:33:00-05:00,2,10.282060422422234,2026-01-02T09:31:00-05:00,4.55,4.56,4.45,4.4986,413011,1962,4.500758,404.2164986171641,2.417582417582405,-1.129670329670332,-4.285106382978732,1950732,0.0
2026-01-02,IRWD,2026-01-02T09:32:00-05:00,2026-01-02T09:34:00-05:00,3,10.507084930041866,2026-01-02T09:31:00-05:00,4.55,4.56,4.45,4.4986,413011,1962,4.500758,404.2164986171641,2.417582417582405,-1.129670329670332,-4.285106382978732,1950732,0.0
2026-01-02,IRWD,2026-01-02T09:36:00-05:00,2026-01-02T09:38:00-05:00,3,6.1202832595253165,2026-01-02T09:35:00-05:00,4.959,4.96,4.85,4.9061,725314,3234,4.899095,364.87581954962354,2.2181891510385228,-1.0667473280903264,7.826373626373639,5770119,0.6
2026-01-02,IRWD,2026-01-02T09:36:00-05:00,2026-01-02T09:39:00-05:00,4,7.548825534172754,2026-01-02T09:35:00-05:00,4.959,4.96,4.85,4.9061,725314,3234,4.899095,364.87581954962354,2.2181891510385228,-1.0667473280903264,7.826373626373639,5770119,0.6
2026-01-02,IRWD,2026-01-02T09:36:00-05:00,2026-01-02T09:40:00-05:00,5,10.644680720801624,2026-01-02T09:35:00-05:00,4.959,4.96,4.85,4.9061,725314,3234,4.899095,364.87581954962354,2.2181891510385228,-1.0667473280903264,7.826373626373639,5770119,0.6
2026-01-02,IRWD,2026-01-02T09:36:00-05:00,2026-01-02T09:41:00-05:00,6,13.365033366665969,2026-01-02T09:35:00-05:00,4.959,4.96,4.85,4.9061,725314,3234,4.899095,364.87581954962354,2.2181891510385228,-1.0667473280903264,7.826373626373639,5770119,0.6
2026-01-02,IRWD,2026-01-02T09:36:00-05:00,2026-01-02T09:42:00-05:00,7,17.17311891594049,2026-01-02T09:35:00-05:00,4.959,4.96,4.85,4.9061,725314,3234,4.899095,364.87581954962354,2.2181891510385228,-1.0667473280903264,7.826373626373639,5770119,0.6
2026-01-02,JFBR,2026-01-02T09:30:00-05:00,2026-01-02T09:30:00-05:00,1,5.633802816901401,2026-01-02T09:29:00-05:00,0.7668,0.7668,0.7668,0.7668,137,2,0.7668,0.04535469357382758,0.0,0.0,0.8947368421052593,2323,0.0
2026-01-02,KDKRW,2026-01-02T10:01:00-05:00,2026-01-02T10:02:00-05:00,2,6.134969325153383,2026-01-02T10:00:00-05:00,1.63,1.63,1.63,1.63,100,1,1.63,0.217152527749664,0.0,0.0,3.164556962025311,3450,0.4
2026-01-02,KDKRW,2026-01-02T11:44:00-05:00,2026-01-02T11:46:00-05:00,3,7.407407407407396,2026-01-02T11:43:00-05:00,1.62,1.62,1.6,1.6,628,11,1.616,0.5678698411269634,1.234567901234569,-1.234567901234569,1.2658227848101333,4042,0.2
2026-01-02,LESL,2026-01-02T11:16:00-05:00,2026-01-02T11:18:00-05:00,3,5.294117647058827,2026-01-02T11:15:00-05:00,1.6999,1.6999,1.6999,1.6999,5002,2,1.6999,0.12960421016927592,0.0,0.0,1.4865671641790978,9123,0.2
2026-01-02,MCRP,2026-01-02T09:52:00-05:00,2026-01-02T09:53:00-05:00,2,5.626364340539403,2026-01-02T09:51:00-05:00,1.445,1.445,1.445,1.445,1500,2,1.445,0.05187937151052569,0.0,0.0,4.710144927536253,6054,0.2
2026-01-02,MCRP,2026-01-02T10:33:00-05:00,2026-01-02T10:33:00-05:00,1,7.6854047817447535,2026-01-02T10:32:00-05:00,1.59,1.59,1.56,1.56,618,4,1.585008,0.16409553786335865,1.8867924528301903,-1.8867924528301903,-5.454545454545445,20131,0.2
2026-01-02,MCRP,2026-01-02T10:33:00-05:00,2026-01-02T10:34:00-05:00,2,7.6854047817447535,2026-01-02T10:32:00-05:00,1.59,1.59,1.56,1.56,618,4,1.585008,0.16409553786335865,1.8867924528301903,-1.8867924528301903,-5.454545454545445,20131,0.2
2026-01-02,MCRP,2026-01-02T10:33:00-05:00,2026-01-02T10:35:00-05:00,3,7.6854047817447535,2026-01-02T10:32:00-05:00,1.59,1.59,1.56,1.56,618,4,1.585008,0.16409553786335865,1.8867924528301903,-1.8867924528301903,-5.454545454545445,20131,0.2
2026-01-02,MCRP,2026-01-02T10:33:00-05:00,2026-01-02T10:36:00-05:00,4,6.403435677200164,2026-01-02T10:32:00-05:00,1.59,1.59,1.56,1.56,618,4,1.585008,0.16409553786335865,1.8867924528301903,-1.8867924528301903,-5.454545454545445,20131,0.2
2026-01-02,MLEC,2026-01-02T09:50:00-05:00,2026-01-02T09:52:00-05:00,3,6.4953271028037385,2026-01-02T09:49:00-05:00,0.213,0.214,0.2125,0.2125,6125,32,0.213172,4.001195316919071,0.7042253521126767,-0.2347417840375589,0.0,8231,0.2
