trade_date,symbol,max_run_gain_pct,run_start_time_et,run_end_time_et,run_minutes,price_929plus,day_gain_pct_929plus,rel_vol_30d_929plus,float_shares,float_lt_20m
2026-01-12,ANPA,47.49675217439173,2026-01-12T08:08:00-05:00,2026-01-12T08:10:00-05:00,3,79.95,-7.9447322970638945,0.2279954933960299,12500000.0,True
2026-01-12,SOGP,39.885632594710515,2026-01-12T09:11:00-05:00,2026-01-12T09:14:00-05:00,4,15.55,32.905982905982924,,83200000.0,False
2026-01-13,BCTX,125.0,2026-01-13T07:37:00-05:00,2026-01-13T07:40:00-05:00,4,11.98,56.80628272251309,94.76799320810782,7250000.0,True
2026-01-13,XAIR,66.68518724302699,2026-01-13T07:30:00-05:00,2026-01-13T07:32:00-05:00,3,1.64,87.2146118721461,9913.079770347855,8530000.0,True
2026-01-13,AHMA,55.4038680318544,2026-01-13T08:17:00-05:00,2026-01-13T08:22:00-05:00,6,11.3,114.01515151515152,51266.85591397849,29500000.0,False
2026-01-13,IOTR,53.191489361702125,2026-01-13T05:06:00-05:00,2026-01-13T05:11:00-05:00,6,3.22,23.371647509578565,,2570000.0,True
2026-01-13,HUBC,44.20157862780811,2026-01-13T08:10:00-05:00,2026-01-13T08:11:00-05:00,2,0.329,-3.9976655967318364,148.29125703479008,2590000.0,True
2026-01-14,ROLR,112.1761658031088,2026-01-14T08:18:00-05:00,2026-01-14T08:20:00-05:00,3,15.61,343.46590909090907,21910.154782608697,10820000.0,True
2026-01-14,SEGG,43.198090692124104,2026-01-14T08:41:00-05:00,2026-01-14T08:43:00-05:00,3,0.8703,68.95748398369248,1745.810586862958,11660000.0,True
2026-01-14,MVO,33.62068965517242,2026-01-14T08:08:00-05:00,2026-01-14T08:08:00-05:00,1,2.25,-6.25,38.42970505860793,11500000.0,True
2026-01-14,FAMI,31.782945736434097,2026-01-14T07:00:00-05:00,2026-01-14T07:01:00-05:00,2,1.24,-4.247104247104239,,5480000.0,True
2026-01-14,RVSN,25.867090283293614,2026-01-14T07:55:00-05:00,2026-01-14T07:58:00-05:00,4,0.364,2.824858757062154,755.1645645388858,2190000.0,True
2026-01-15,CJMB,167.22689075630254,2026-01-15T08:45:00-05:00,2026-01-15T08:46:00-05:00,2,2.63,134.82142857142856,2184.5620871862616,4620000.0,True
2026-01-15,BNKK,74.28571428571429,2026-01-15T08:00:00-05:00,2026-01-15T08:03:00-05:00,4,4.15,49.280575539568375,21338.454091816366,5300000.0,True
2026-01-15,SPHL,62.396694214876035,2026-01-15T07:00:00-05:00,2026-01-15T07:02:00-05:00,3,7.7996,246.64888888888888,9183.062685302837,1650000.0,True
2026-01-15,PCLA,33.939945404913566,2026-01-15T08:10:00-05:00,2026-01-15T08:10:00-05:00,1,0.1972,-10.769230769230775,1.7877603933152437,4150000.0,True
2026-01-15,AUID,33.33333333333335,2026-01-15T08:19:00-05:00,2026-01-15T08:28:00-05:00,10,1.92,93.45088161209065,,15070000.0,True
2026-01-16,ACCL,119.34604904632154,2026-01-16T08:09:00-05:00,2026-01-16T08:10:00-05:00,2,4.36,45.81939799331103,,13950000.0,True
2026-01-16,LCFY,113.23529411764706,2026-01-16T08:00:00-05:00,2026-01-16T08:00:00-05:00,1,5.8196,85.92971246006391,,1800000.0,True
2026-01-16,JFBR,100.34592101470166,2026-01-16T07:35:00-05:00,2026-01-16T07:38:00-05:00,4,1.22,118.63799283154117,47.62165587701298,8960000.0,True
2026-01-16,BIYA,63.25301204819278,2026-01-16T05:12:00-05:00,2026-01-16T05:16:00-05:00,5,6.14,36.14190687361418,149.6419716368648,2810000.0,True
2026-01-16,PFSA,57.89473684210527,2026-01-16T07:30:00-05:00,2026-01-16T07:31:00-05:00,2,0.1278,29.746192893401012,4.475556776653571,1230000.0,True
2026-01-20,TWG,119.16666666666664,2026-01-20T06:50:00-05:00,2026-01-20T06:51:00-05:00,2,8.0,129.88505747126436,,1470000.0,True
2026-01-20,ICON,74.90494296577945,2026-01-20T08:13:00-05:00,2026-01-20T08:13:00-05:00,1,2.64,36.08247422680413,15.215886111255363,2510000.0,True
