trade_date,symbol,run_start_time_et,run_end_time_et,run_minutes,run_gain_pct,pre_time_et,pre_open,pre_high,pre_low,pre_close,pre_volume,pre_trade_count,pre_vwap,pre_rel_vol_30d,pre_range_pct,pre_body_pct,pre_return_pct,pre_range_total_pct,pre_volume_sum,pre_green_frac,last5_return_pct,last5_volume_sum,last5_green_frac,last5_range_pct,pre_vol_4_8,pre_trend_pct,pre_range_pct_4_8
2026-01-02,BNAI,2026-01-02T09:30:00-05:00,2026-01-02T09:31:00-05:00,2,5.356000000000005,2026-01-02T09:29:00-05:00,2.5,2.5,2.5,2.5,330,8,2.5,0.03297256822905619,0.0,0.0,4.166666666666674,7.916666666666665,134641,0.22727272727272727,2.8806584362139898,3737,0.4,2.880658436213985,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:38:00-05:00,2026-01-02T09:38:00-05:00,1,15.368998834542658,2026-01-02T09:37:00-05:00,2.6701,2.68,2.65,2.6548,26439,60,2.658204,0.224565014998274,1.1235534249653665,-0.5730122467323439,10.616666666666674,15.83333333333335,727530,0.25675675675675674,0.5606060606060392,282133,0.4,5.681818181818195,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:38:00-05:00,2026-01-02T09:39:00-05:00,2,17.839016504379867,2026-01-02T09:37:00-05:00,2.6701,2.68,2.65,2.6548,26439,60,2.658204,0.224565014998274,1.1235534249653665,-0.5730122467323439,10.616666666666674,15.83333333333335,727530,0.25675675675675674,0.5606060606060392,282133,0.4,5.681818181818195,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:41:00-05:00,2026-01-02T09:42:00-05:00,2,5.230980481904091,2026-01-02T09:40:00-05:00,3.135,3.1399,3.01,3.05,219471,1270,3.051385,0.581626545351464,4.143540669856463,-2.711323763955342,27.083333333333325,36.66250000000001,2008400,0.2727272727272727,14.227931538144635,1373262,0.6,20.594734279614997,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:41:00-05:00,2026-01-02T09:43:00-05:00,3,10.167718311701046,2026-01-02T09:40:00-05:00,3.135,3.1399,3.01,3.05,219471,1270,3.051385,0.581626545351464,4.143540669856463,-2.711323763955342,27.083333333333325,36.66250000000001,2008400,0.2727272727272727,14.227931538144635,1373262,0.6,20.594734279614997,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:54:00-05:00,2026-01-02T09:55:00-05:00,2,6.3682539682539785,2026-01-02T09:53:00-05:00,3.1709,3.21,3.16,3.17,152162,495,3.181391,1.0805253213642332,1.5768393831404277,-0.028383108896531672,32.08333333333333,45.41250000000001,6032094,0.3,0.47543581616482644,865252,0.6,5.388272583201266,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:54:00-05:00,2026-01-02T09:56:00-05:00,3,8.250793650793643,2026-01-02T09:53:00-05:00,3.1709,3.21,3.16,3.17,152162,495,3.181391,1.0805253213642332,1.5768393831404277,-0.028383108896531672,32.08333333333333,45.41250000000001,6032094,0.3,0.47543581616482644,865252,0.6,5.388272583201266,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T09:54:00-05:00,2026-01-02T09:57:00-05:00,4,11.853968253968251,2026-01-02T09:53:00-05:00,3.1709,3.21,3.16,3.17,152162,495,3.181391,1.0805253213642332,1.5768393831404277,-0.028383108896531672,32.08333333333333,45.41250000000001,6032094,0.3,0.47543581616482644,865252,0.6,5.388272583201266,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T10:01:00-05:00,2026-01-02T10:01:00-05:00,1,5.10924831661399,2026-01-02T10:00:00-05:00,3.67,3.7999,3.5801,3.63,888265,5080,3.68502,2.097554077185058,5.989100817438698,-1.0899182561307912,51.24999999999999,61.66250000000001,10934850,0.32989690721649484,7.396449704142016,4105678,0.6,15.67751479289941,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T10:08:00-05:00,2026-01-02T10:08:00-05:00,1,7.863899477622471,2026-01-02T10:07:00-05:00,3.5686,3.62,3.53,3.553,284713,1632,3.576002,2.5622828905454047,2.5219974219581993,-0.4371462198060881,48.04166666666667,65.0,14986568,0.33653846153846156,-4.226642945711356,2294094,0.4,7.814437435980384,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T10:10:00-05:00,2026-01-02T10:11:00-05:00,2,5.376344086021501,2026-01-02T10:09:00-05:00,3.825,3.92,3.7,3.7286,1016567,6840,3.792506,2.3754143892615005,5.751633986928098,-2.5202614379084975,55.358333333333356,66.66666666666667,17009388,0.33962264150943394,1.727007339099118,3227590,0.4,10.64032957738794,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T10:10:00-05:00,2026-01-02T10:12:00-05:00,3,8.481182795698917,2026-01-02T10:09:00-05:00,3.825,3.92,3.7,3.7286,1016567,6840,3.792506,2.3754143892615005,5.751633986928098,-2.5202614379084975,55.358333333333356,66.66666666666667,17009388,0.33962264150943394,1.727007339099118,3227590,0.4,10.64032957738794,13124.0,-1.2499999999999956,7.916666666666665
