feature,coef,abs_coef
intercept,9.425529757941211,9.425529757941211
pre_range_pct_4_8,2.8760836562120353,2.8760836562120353
pre_range_total_pct,-1.8431859948170892,1.8431859948170892
last5_range_pct,1.569891067182397,1.569891067182397
pre_trend_pct,-1.3793657025192814,1.3793657025192814
pre_return_pct,1.264587308975319,1.264587308975319
pre_range_pct,0.6204928432347029,0.6204928432347029
pre_volume,-0.6082422553789281,0.6082422553789281
pre_volume_sum,0.3285318860039889,0.3285318860039889
pre_rel_vol_30d,0.18378230300404672,0.18378230300404672
pre_body_pct,-0.17508335694948648,0.17508335694948648
pre_trade_count,-0.126107907110159,0.126107907110159
pre_vol_4_8,0.10237531948334516,0.10237531948334516
last5_green_frac,-0.10190619455625517,0.10190619455625517
last5_volume_sum,0.03335037595316545,0.03335037595316545
last5_return_pct,0.025394727267364477,0.025394727267364477
pre_green_frac,0.012928703992542742,0.012928703992542742
