feature,pearson_corr,spearman_corr
last5_range_pct,0.29573771068719756,0.2684617286986299
pre_range_pct_4_8,0.2228835484595912,0.2343065468561513
pre_range_total_pct,0.10745172823320459,0.23019427245915955
pre_range_pct,0.24645197251365975,0.20311501037490362
pre_trade_count,0.11140708992328074,0.1697529425542845
pre_return_pct,0.0808153160632727,0.1693825333865563
pre_green_frac,0.08937031806837191,0.15206962951293254
pre_vol_4_8,0.11457419598874405,0.1460316099834218
pre_body_pct,-0.1964093246573979,-0.1429091098283967
last5_volume_sum,0.07172994585938541,0.1374282522361426
pre_volume,0.06948978909637324,0.1279933837595942
pre_trend_pct,0.14814722251531223,0.1025803457785371
pre_volume_sum,0.03589526910595315,0.09738498325335422
last5_green_frac,0.03211352121260924,0.07298030052179043
pre_rel_vol_30d,0.020528683752284577,-0.06703916332771781
last5_return_pct,0.07300723680451106,0.03953132421874163
