symbol
BNAI
EVTV
SEGG
SLGB
SPHL
MTEN
SXTP
ROLR
FEED
NAMM
DRCT
IOTR
IVF
SXTC
GITS
LRHC
JFBR
CGTL
CISS
MOVE
BATL
AHMA
CJMB
BOXL
AUID
KUST
LNKS
ASBP
XAIR
ICON
ASTI
NUWE
XHLD
ANPA
ACCL
INBS
BTTC
BGL
TWG
BIYA
CNEY
HCTI
MLEC
GOAI
DCX
MNTS
POLA
MBAI
PAVM
OKLS
LYRA
BCTX
ZSTK
GRI
LCFY
NVVE
HIND
RVYL
BNKK
VSME
PMN
UONE
GCTK
JZXN
PFSA
GP
FLYX
BNRG
AIMD
RGNX
PHGE
HUBC
TNMG
SIDU
APVO
ROMA
PZG
GLXG
NUAI
CRVS
ORKT
GWAV
SOGP
VRME
SHC
OPTX
GIBO
GORO
PMAX
AUST
OKLL
IBRX
UFG
SGMT
GXAI
LHAI
REVB
SWVL
MGLD
PRFX
