symbol
HYPD
HCTI
TRON
HSDT
VOR
NCNA
RBNE
AGIG
MFI
DFSC
RVYL
SONM
CYN
DFDV
INTS
XTIA
NUWE
CLRB
PCSA
NA
LCFY
WBUY
HIND
APVO
CURR
SBET
HIMZ
BNAI
ARTL
BRN
CTOR
FEED
UNCY
ZENA
LYRA
ASTI
BLNE
CREG
ARAI
JZXN
MAAS
SST
TGE
VTAK
CMBM
GCTK
GVH
ICU
INDP
CGTL
ALT
CHNR
PRFX
IRD
ADIL
LGHL
IPW
ACXP
ZJK
HBNB
GNPX
LUCY
CD
NUAIW
TAOX
KZIA
ESLA
LMBO
ASBP
BKHAR
FGL
QCLS
IPDN
NAAS
ELAB
MGLD
KPRX
ACTU
XCUR
EKSO
TELO
BNKK
JFBR
CYCU
DFLI
LSE
SRFM
HOVR
FLD
DPRO
MNTS
GALT
STKH
TNMG
TWG
WOLF
STSS
ZBAI
AGMH
BATL
